silly_sentence;correct_answer,
Ein Kreis ist rund;y,
Katzen jagen gerne Mäuse ;y,
Blätter ändern im Herbst ihre Farbe;y,
Fäustlinge werden an den Händen getragen;y,
Vögel essen gerne Würmer ;y,
Nachts kann Sterne sehen;y,
Bleistifte schreiben auf Papier;y,
Zucker schmeckt sehr süß;y,
Eine Giraffe hat einen langen Hals;y,
Im Fernsehen kann man Serien sehen;y,
Kaninchen hoppeln gerne;y,
Milch kommt von einer Kuh;y,
Manche Kinder fahren mit dem Bus zur Schule;y,
Leute sitzen gerne auf einem Stuhl;y,
Schweine spielen gerne im Schlamm;y,
Ein Rechteck hat vier Seiten;y,
Kamele haben große Höcker;y,
Ein Hut wird auf dem Kopf getragen;y,
Menschen können auf einem Pferd reiten;y,
Ein Turm ist sehr hoch;y,
Pflanzen wachsen aus Samen;y,
Ein Huhn kann Eier legen;y,
Ein Affe hat einen langen Schwanz;y,
Man isst an einem Tisch;y,
Manche Katzen schlafen in der Sonne;y,
Hunde haben vier Beine;y,
Eine Form mit vier Seiten ist ein Rechteck;y,
Im Winter fliegen manche Vögel in den Süden;y,
manche Drachen können wie ein Diamant geformt sein;y,
Vorhänge verdecken ein Fenster;y,
Ein Rotkehlchen ist ein Vogel;y,
Ein Fuchs kann einen LKW fahren;n,
Kröten leben in einer Couch;n,
Ein Dreieck hat vier Ecken;n,
Eine Schlange ist mit Fell bedeckt;n,
Katzen leben in der Erde;n,
Feuer ist sehr kalt;n,
Ein Schwan hat lila Federn;n,
Ein Löwenbaby ist ein Küken;n,
Bäume bestehen aus Stein;n,
Das meiste Gras ist rot;n,
Tiger leben auf einem Bauernhof;n,
Ein Auto kann auf einem See fahren;n,
Ein Fahrrad hat vier Räder;n,
Elefanten sind meistens blau;n,
Mama kocht das Essen im Bett;n,
Fische können im Himmel schwimmen;n,
Blumen blühen im Winter;n,
Im Winter ist es sehr heiß;n,
Bären schlafen den ganzen Sommer;n,
Schildkröten können schnell laufen;n,
Hosen trägt man an den Armen;n,
Ein Kätzchen ist ein Hundebaby;n,
Regen macht Dinge trocken;n,
Man wäscht Kleidung in einem Ofen;n,
Ein Papagei kann ein Flugzeug steuern;n,
Ratten können Bücher lesen;n,
Flugzeuge fliegen im Wasser;n,
Ein Schaf sagt ""Muh"";n,
Man kann im Sommer einen Schneemann bauen;n,
Ein Frosch sagt miau;n,
Enten tragen Tennisschuhe;n,
Man schläft in einem Klavier;n,
Man schnallt sich im Auto immer an;y,
Man bewahrt Kleidung in einer Kommode auf;y,
Man kann Wasser in einem Kochtopf kochen;y,
Die Farbe einer Banane ist gelb;y,
Man trägt Socken an den Füßen;y,
Deine Zähne sind in deinem Mund;y,
Ein Auto hat vier Räder;y,
Ein Zauberer zaubert;y,
Die Zahl nach vier ist fünf;y,
Ich kann mit meiner Nase riechen;y,
Ich kann mit meinen Augen sehen;y,
Das Gegenteil von lang ist kurz;y,
Ein Haus besteht aus Ziegeln;y,
Ein König trägt eine Krone;y,
Du kannst mit deinen Ohren hören;y,
Das Meer ist sehr tief;y,
Die Zahl nach der Zwei ist die Drei;y,
Die Zahl nach der Zehn ist die Elf;y,
Stein ist sehr hart;y,
Thomas ist ein Name für einen Jungen;y,
Ein Entenbaby wird Entenküken genannt;y,
Hänschen klein ging allein in die weite Welt hinein;y,
Ein Geburtstagskuchen hat Kerzen;y,
Eine Feder ist sehr leicht;y,
Schulen haben einen Spielplatz;y,
Eine Blume hat Blütenblätter;y,
Um Tee zu kochen kann man eine Teekanne verwenden;y,
Ein Friseur schneidet Haare;y,
Man kann einen Regenschirm benutzen, wenn es regnet;y,
Raketen fliegen im Weltraum;y,
Wenn man durstig ist, trinkt man etwas;y,
Wenn man hungrig ist, isst man etwas;y,
Eine Ananas ist rosa gefärbt;n,
Eine Zwiebel ist eine Frucht;n,
Wir feiern Weihnachten im Juli;n,
Es gibt vierzig Monate im Jahr;n,
Es gibt zweihundert Buchstaben im Alphabet;n,
Eine Gefriertruhe hält das Essen warm;n,
Schweine leben auf dem Mond;n,
Pferde gehen in den Supermarkt;n,
Ein Keks besteht aus Holz;n,
Ein Toaster kann einen Karren fahren;n,
Ein Hai kann ein Rennen fahren;n,
Esel leben in Mülltonnen;n,
Eine Fledermaus kann mit einem Hubschrauber fliegen;n,
Ein Eichhörnchen isst gerne Kartoffeln;n,
Wir haben Ostern im November;n,
Ein Koffer besteht aus Wackelpudding;n,
Ein Trampolin ist aus Butter;n,
Ein Krokodil ist blau gefärbt;n,
Eine Wolke besteht aus Gummi;n,
Stiefel sind aus Milch gemacht;n,
Deine Nase ist auf deinem Arm;n,
Du isst dein Abendessen mit einem Spaten;n,
Fische können Gitarre spielen;n,
Man misst die Zeit mit einem Taschenrechner;n,
Regenbögen erscheinen auf dem Kühlschrank;n,
Ein Boot isst gerne Chips;n,
Sand ist sehr scharf;n,
Ein Buch ist ein Musikinstrument;n,
Eiscreme fühlt sich sehr heiß an;n,
Ein Pflaster ist aus Pflaumen gemacht;n,
Schwer ist das Gegenteil von kurz;n,
